ml_projectile_damage_increase_tp,Your projectiles deals 10% more damage,Ваши снаряды наносят на 10% больше урона,,,,,,,,,,
ml_elemental_damage_increase,More elemental damage,Больше элементального урона,,,,,,,,,,
ml_elemental_damage_increase_tp,You deal 30% more elemental damage,Вы наносите на 30% больше элементального урона,,,,,,,,,,
ml_drill_damage_increase,Deadly drills,Смертельные дрелли,,,,,,,,,,
ml_drill_damage_increase_tp,Your drills are dealing more damage,Ваши дрелли наносят больше урона,,,,,,,,,,
ml_drill_destructibility_increase,Harder drill,Крепкий дрелль,,,,,,,,,,
ml_drill_destructibility_increase_tp,Your drills are capable of digging through harder materials,Ваши дрелли способны копать более твёрдые материалы,,,,,,,,,,
ml_force_fungal_shift,Fungal shift,Грибной сдвиг,,,,,,,,,,
ml_force_fungal_shift_tp,Force fungal shift beyond limits,Сделать грибной сдвиг не взирая на лимит,,,,,,,,,,
ml_transformation_rat,Ratty transformation,Крысиная трансформация,,,,,,,,,,
ml_transformation_rat_tp,Cause you to grow a rat tail and increase movement speed by 15%,У вас вырастает крысиный хвост и ваша скорость передвижения увеличивается на 15%,,,,,,,,,,
ml_transformation_fungi,Funky transformation,Грибная трансформация,,,,,,,,,,
ml_transformation_fungi_tp,Cause your head to turn into a mushroom and give 10% resistance to explosion damage,Ваша голова превращается в гриб и вы получаете 15% сопротивления к урону от взрывов,,,,,,,,,,
ml_transformation_ghost,Ghostly transformation,Паранормальная трансформация,,,,,,,,,,
ml_transformation_ghost_tp,Give you a ghost companion and increase your levitation time by 15%,Даёт вам призрачных компаньонов и вы можете левитировать на 15% дольше,,,,,,,,,,
ml_transformation_lukki,Lukki transformation,Паучья трансформация,,,,,,,,,,
ml_transformation_lukki_tp,Replace your lower body with a lukki body and increase movement speed by 10%,Заменяет вашу нижнюю часть тела паучьим телом и увеличивает скорость передвижения на 10%,,,,,,,,,,
ml_transformation_angel,Angel transformation,Ангельская трансформация,,,,,,,,,,
ml_transformation_angel_tp,Gives you angel halo and increases your fire and holy damage resistance by 10%,Даёт вам ангельский нимб и увеличивает ваши сопротивления к огню и святому урону на 10%,,,,,,,,,,
ml_transformation_demon,Demon transformation,Демоническая трансформация,,,,,,,,,,
ml_transformation_demon_tp,Gives you demon halo and increases your fire and holy damage resistance by 10%,Даёт вам демонический нимб и увеличивает ваши сопротивления к огню и святому урону на 10%,,,,,,,,,,
ml_random_potion,Random potion,Случайное зелье,,,,,,,,,,
ml_random_potion_tp,Gives you a random potion,Даёт вам случайное зелье,,,,,,,,,,
ml_random_potion_complete_tp,Gives you a completely random potion,Даёт вам совершенно случайное зелье,,,,,,,,,,
ml_random_potion_secret_tp,Gives you a random potion from secret pool,Даёт вам случайное зелье из секретного пула,,,,,,,,,,
ml_potion_static,You will get $0 $1 potion,Вы получите пузырь $1,,,,,,,,,,
ml_spell_static,You will get $0 $1 spell,Вы получите заклинание $1,,,,,,,,,,
ml_hover_energy_tp,You can fly longer,Можно летать дольше,,,,,,,,,,
ml_hover_speed,Slightly faster levitation,Слегка ускоренная левитация,,,,,,,,,,
ml_hover_speed_tp,You levitate faster,Левитация быстрее,,,,,,,,,,
ml_hover_recharge,Faster levitation recovery,Ускоренная перезарядка полёта,,,,,,,,,,
ml_hover_recharge_tp,You gain levitation energy faster,Вы быстрее восстанавливаете энергию левитации,,,,,,,,,,
ml_bigger_lungs,Bigger lungs,Увеличенные легкие,,,,,,,,,,
ml_bigger_lungs_tp,You can hold your breath longer,Вы можете дольше задерживать дыхание,,,,,,,,,,
ml_projectile_resistance,Projectile resistance,Сопротивление снарядам,,,,,,,,,,
ml_projectile_resistance_tp,You take less damage from projectiles,Вы получаете меньше урона от снарядов,,,,,,,,,,
ml_explosion_resistance,Explosion resistance,Сопротивление взрывам,,,,,,,,,,
ml_explosion_resistance_tp,You take less damage from explosions,Вы получаете меньше урона от взрывов,,,,,,,,,,
ml_melee_resistance,Melee resistance,Сопротивление рукопашной,,,,,,,,,,
ml_melee_resistance_tp,You take less damage from melee damage,Вы получаете меньше урона от рукопашной,,,,,,,,,,
ml_spell_drills,Random drill,Случайная дрелль,,,,,,,,,,
ml_spell_drills_tp,Spawn a random drill,Создаёт случайный дрелль,,,,,,,,,,
ml_spell_glimmers,Random glimmer,Случайное мерцание,,,,,,,,,,
ml_spell_glimmers_tp,Spawn a random glimmer,Создаёт случайное сияние,,,,,,,,,,
ml_polymorph_immunity,Polymorph immunity,Иммунитет полиморфизму,,,,,,,,,,
ml_polymorph_immunity_tp,You will be immune to polymorph,Вы будете имунны к полиморфизму,,,,,,,,,,
ml_polymorph_immunity_tp2,"Be careful, you may not be able to die","Будьте осторожны, возможно вы не сможете умереть",,,,,,,,,,
ml_slightly_more_perks,Slightly more perks,Слегка больше перков,,,,,,,,,,
ml_slightly_more_perks_tp,From now on you will find an extra perk in every other Holy Mountain,Теперь вы будете находить дополнительный перк на каждой второйСвятой горе,,,,,,,,,,
ml_buff_temporary_tp,You will gain $0 effect for $1 seconds,Вы получите эффект $0 на $0 секунд,,,,,,,,,,
ml_buff_oily,Oil makes you slippery and more cute,Нефть делает вас скользкими и милыми,,,,,,,,,,
ml_buff_explosion_radius,Explosion radius,Радиус взрыва,,,,,,,,,,
ml_buff_explosion_radius_tp,Increases explosion radius of your projectile by $0,Увеличивает радиус взрыва ваших снарядов на $0,,,,,,,,,,
ml_buff_explosion_damage,Explosion damage,Урон взрыва,,,,,,,,,,
ml_buff_explosion_damage_tp,Increase explosion damage of your projectile by $0,Увеличивает урон взрыва ваших снарядов на $0,,,,,,,,,,
ml_remove_hp_cap,Unbroken heart,Неразбитое сердце,,,,,,,,,,
ml_remove_hp_cap_tp,Removes hp limit from glass cannon or else,Убирает ограничение здоровья,,,,,,,,,,
