ml_stats_bonus_point_fungal_shift,Fungal shift bonus,Бонус за грибной сдвиг,Bônus por mudança fúngica,Bono por cambio fúngico,Pilzwechsel-Bonus,Bonus de décalage fongique,Bonus per cambio fungino,Bonus za grzybową zmianę,真菌转变加成,菌類シフトボーナス,균류 이동 보너스,,,,,,,,,,
ml_stats_bonus_point_win_streak,Win streak bonus,Бонус за побед подряд,Bônus por sequência de vitórias,Bono por racha de victorias,Siegesserien-Bonus,Bonus de série de victoires,Bonus per serie di vittorie,Bonus za serię zwycięstw,连胜加成,連勝ボーナス,연승 보너스,,,,,,,,,,
ml_stats_misc,Misc,Прочее,Miscelânea,Varios,Verschiedenes,Divers,Varie,Różne,杂项,その他,기타,,,,,,,,,,
ml_stats_time,Time in game,Время в игре,Tempo no jogo,Tiempo en el juego,Zeit im Spiel,Temps dans le jeu,Tempo di gioco,Czas w grze,游戏时间,ゲーム内時間,게임 시간,,,,,,,,,,
ml_grouped,Grouped,Сгруппировано,Agrupado,Agrupado,Gruppiert,Regroupé,Raggruppato,Zgrupowane,分组,グループ化,그룹화,,,,,,,,,,
ml_current_change_display,Change display mode,Поменять режим отображения,Alterar modo de exibição,Cambiar modo de visualización,Anzeigemodus ändern,Changer le mode d'affichage,Cambia modalità di visualizzazione,Zmień tryb wyświetlania,更改显示模式,表示モードを変更,디스플레이 모드 변경,,,,,,,,,,
ml_stats_meta_bonus,Acquired this run,Получено в этом забеге,Adquirido nesta partida,Adquirido en esta partida,In diesem Lauf erworben,Acquis lors de cette partie,Acquisito in questa partita,Zdobyte w tym biegu,本次运行中获得,このランで取得,이번 런에서 획득,,,,,,,,,,
ml_stats_resistance,Resistance,Сопротивление,Resistência,Resistencia,Widerstand,Résistance,Resistenza,Odporność,抗性,耐性,저항,,,,,,,,,,
ml_position_move,Hold shift and left click to move this window,Удерживайте шифт и левую кнопку для перемещения этого окна,Segure shift e clique esquerdo para mover esta janela,Mantén shift y haz clic izquierdo para mover esta ventana,Shift gedrückt halten und mit Linksklick verschieben,Maintenez shift et cliquez gauche pour déplacer cette fenêtre,Tieni premuto shift e fai clic sinistro per spostare questa finestra,"Przytrzymaj shift i kliknij lewym przyciskiem, aby przesunąć to okno",按住 shift 并左键单击以移动此窗口,Shift を押しながら左クリックしてウィンドウを移動,Shift를 누르고 왼쪽 클릭하여 창 이동,,,,,,,,,,
ml_position_reset,Hold shift and right click to reset the position,Удерживайте шифт и правую кнопку для сброса положения,Segure shift e clique direito para redefinir a posição,Mantén shift y haz clic derecho para restablecer la posición,Shift gedrückt halten und mit Rechtsklick zurücksetzen,Maintenez shift et cliquez droit pour réinitialiser la position,Tieni premuto shift e fai clic destro per reimpostare la posizione,"Przytrzymaj shift i kliknij prawym przyciskiem, aby zresetować pozycję",按住 shift 并右键单击以重置位置,Shift を押しながら右クリックして位置をリセット,Shift를 누르고 오른쪽 클릭하여 위치 초기화,,,,,,,,,,
ml_ascend,Ascend,Восхождение,Ascender,Ascender,Aufsteigen,Ascension,Ascendere,Wznoszenie,上升,上昇,상승,,,,,,,,,,
ml_ascend_available,Ascension available,Доступно восхождение,Ascensão disponível,Ascensión disponible,Aufstieg verfügbar,Ascension disponible,Ascensione disponibile,Dostępne wznoszenie,可进行上升,上昇可能,상승 가능,,,,,,,,,,
ml_ascend_required_level,Required level for ascension,Требуемый уровень для восхождения,Nível necessário para ascender,Nivel requerido para ascender,Erforderliches Level für den Aufstieg,Niveau requis pour l'ascension,Livello richiesto per ascendere,Wymagany poziom do wzniesienia,上升所需等级,上昇に必要なレベル,상승에 필요한 레벨,,,,,,,,,,
ml_ascend_description1,Resets your level and the world,Сбрасывает ваш уровень и мир,Redefine seu nível e o mundo,Reinicia tu nivel y el mundo,Setzt dein Level und die Welt zurück,Réinitialise votre niveau et le monde,Reimposta il tuo livello e il mondo,Resetuje twój poziom i świat,重置你的等级和世界,レベルと世界をリセットします,레벨과 세계를 재설정,,,,,,,,,,
ml_ascend_description2,"You will keep your rewards, inventory and perks","Вы сохраните ваши награды, инвентарь и перки","Você manterá suas recompensas, inventário e vantagens","Mantendrás tus recompensas, inventario y ventajas","Du behältst deine Belohnungen, dein Inventar und deine Perks","Vous garderez vos récompenses, votre inventaire et vos avantages","Manterrai le tue ricompense, l'inventario e i bonus","Zachowasz swoje nagrody, ekwipunek i perki","你将保留你的奖励、库存和能力","報酬、インベントリ、特典は保持されます","보상, 인벤토리 및 특전을 유지합니다",,,,,,,,,,,
ml_picked_perks,Picked perks,Выбрано перков,Perks escolhidos,Ventajas seleccionadas,Ausgewählte Perks,Atouts sélectionnés,Bonus selezionati,Wzięte perki,选择的技能,選択した特典,선택한 특전,,,,,,,,,,
ml_picked_perks_apply,Apply selected perks,Применить выбранные перки,Aplicar perks selecionados,Aplicar ventajas seleccionadas,Ausgewählte Perks anwenden,Appliquer les atouts sélectionnés,Applica i bonus selezionati,Zastosuj wybrane perki,应用选择的技能,選択した特典を適用,선택한 특전 적용,,,,,,,,,,
ml_picked_perks_apply_tp,Apply selected perks and close this window,Применить выбранные перки и закрыть это окно,Aplicar perks selecionados e fechar esta janela,Aplicar ventajas seleccionadas y cerrar esta ventana,Ausgewählte Perks anwenden und dieses Fenster schließen,Appliquer les atouts sélectionnés et fermer cette fenêtre,Applica i bonus selezionati e chiudi questa finestra,Zastosuj wybrane perki i zamknij to okno,应用选择的技能并关闭此窗口,選択した特典を適用してこのウィンドウを閉じる,선택한 특전을 적용하고 이 창 닫기,,,,,,,,,,
